Seed_browse_node_id,seasonality,SeedASIN,Rec_ParentASIN,Seed_PTD,SeedGVBand,Rec_browse_root,brandaffinity,IsPublishable,Seed_itk,Rec_itk,colorscore,RecGVBand,Rec_browse_node_id,pricescore,Prob_score,Weighted_Score,RecASIN,reviewratingscore,freshness,Seed_browse_root,Rec_PTD
2154579051,1.0,B017XIP722,B018F0BP1O,191,C,cn-apparel,0.0,False,flat-front-shorts,pajama-tops,0.26,E,2154598051,0.93,0.011,-4.509,B018MMS7SO,0.5,1.0,cn-apparel,175
2154579051,1.0,B017XIP722,B01DC6SHI0,191,C,cn-apparel,0.0,False,flat-front-shorts,pajama-bottoms,1.0,E,2154599051,0.75,0.046,-3.023,B01C6G0ATG,0.5,1.0,cn-apparel,175
2154579051,1.0,B017XIP722,B01FR2XFG6,191,C,cn-apparel,0.0,False,flat-front-shorts,pajama-bottoms,0.55,E,2154599051,0.95,0.032,-3.404,B01E988NUC,0.5,1.0,cn-apparel,175
2154579051,1.0,B017XIP722,B01HZFRBNQ,191,C,cn-apparel,0.0,False,flat-front-shorts,pajama-bottoms,0.98,E,2154599051,1.0,0.161,-1.649,B01FKL980Q,0.5,1.0,cn-apparel,175
2154579051,1.0,B017XIP722,B01FR2RSL4,191,C,cn-apparel,0.0,False,flat-front-shorts,pajama-bottoms,0.98,E,2154599051,0.75,0.043,-3.091,B01ELH501G,0.5,1.0,cn-apparel,175
2154579051,1.0,B017XIP722,B019620C4G,191,C,cn-apparel,0.0,False,flat-front-shorts,pajama-bottoms,0.86,F,2154599051,0.74,0.028,-3.558,B016AD3WIM,0.5,1.0,cn-apparel,175
2154579051,1.0,B017XIP722,B01EH35BC2,191,C,cn-apparel,0.0,False,flat-front-shorts,pajama-bottoms,1.0,F,2154599051,0.98,0.155,-1.696,B00XN6ESHY,0.5,1.0,cn-apparel,175
2154579051,1.0,B017XIP722,B01DOZL7D6,191,C,cn-apparel,0.0,False,flat-front-shorts,pajama-bottoms,0.98,E,2154599051,0.81,0.06,-2.745,B0198WFM1M,0.5,1.0,cn-apparel,175
2154579051,1.0,B017XIP722,B01HZFXU0E,191,C,cn-apparel,0.0,False,flat-front-shorts,pajama-bottoms,0.98,E,2154599051,1.0,0.161,-1.649,B01FKLAI32,0.5,1.0,cn-apparel,175
2154579051,1.0,B017XIP722,B01DNY3HLS,191,C,cn-apparel,0.0,False,flat-front-shorts,pajama-bottoms,0.98,F,2154599051,0.64,0.024,-3.726,B01BQ7RHG0,0.5,1.0,cn-apparel,175
2154579051,1.0,B017XIP722,B01DC60Q5W,191,C,cn-apparel,0.0,False,flat-front-shorts,pajama-bottoms,0.98,F,2154599051,0.52,0.012,-4.418,B01C6G03FC,0.5,1.0,cn-apparel,175
2154579051,1.0,B017XIP722,B018F0BP1O,191,C,cn-apparel,0.0,False,flat-front-shorts,pajama-tops,0.45,E,2154598051,0.93,0.021,-3.861,B018MMT9Z4,0.5,1.0,cn-apparel,175
2154579051,1.0,B017XIP722,B01DLJNB20,191,C,cn-apparel,0.0,False,flat-front-shorts,pajama-bottoms,0.98,F,2154599051,0.58,0.017,-4.072,B0198WR3UK,0.5,1.0,cn-apparel,175
2154579051,1.0,B017XIP722,B01FR2SSZO,191,C,cn-apparel,0.0,False,flat-front-shorts,pajama-bottoms,0.98,E,2154599051,0.98,0.146,-1.764,B01ELH535Y,0.5,1.0,cn-apparel,175
2154579051,1.0,B017XIP722,B01DC5ZAI6,191,C,cn-apparel,0.0,False,flat-front-shorts,pajama-bottoms,0.98,F,2154599051,0.58,0.017,-4.072,B01C6FZMSQ,0.5,1.0,cn-apparel,175
2154579051,1.0,B017XIP722,B01FR3QS9Q,191,C,cn-apparel,0.0,False,flat-front-shorts,pajama-tops,0.77,F,2154598051,0.88,0.045,-3.058,B01E988U3W,0.5,1.0,cn-apparel,175
2154579051,1.0,B017XIP722,B01FR2ZM30,191,C,cn-apparel,0.0,False,flat-front-shorts,pajama-bottoms,0.98,F,2154599051,0.91,0.103,-2.168,B01ELH4YMW,0.5,1.0,cn-apparel,175
2154579051,1.0,B017XIP722,B01FR2RSL4,191,C,cn-apparel,0.0,False,flat-front-shorts,pajama-bottoms,0.86,E,2154599051,0.66,0.018,-4.02,B01ELH529G,0.5,1.0,cn-apparel,175
2154579051,1.0,B017XIP722,B01DC6VZIE,191,C,cn-apparel,0.0,False,flat-front-shorts,pajama-bottoms,0.98,F,2154599051,0.59,0.018,-4.014,B01C6FZIIA,0.5,1.0,cn-apparel,175
